MTime;Miner;Message;BlockNr;Hash
10-24-12:08:45.608;miner9;🔨 mined potential block                 ;42;c390ab…d05931
10-24-12:08:46.139;miner1;🔨 mined potential block                 ;3;c7783e…11ea9e
10-24-12:08:49.805;miner7;🔨 mined potential block                 ;3;bdb7c9…641276
10-24-12:08:51.617;miner1;🔨 mined potential block                 ;4;e48ec1…4e597a
10-24-12:08:52.953;miner6;🔨 mined potential block                 ;3;15a11e…314f31
10-24-12:08:55.249;miner10;🔨 mined potential block                 ;43;5eb7e7…f3aba4
10-24-12:09:04.720;miner8;🔨 mined potential block                 ;42;7677c5…a60fa8
10-24-12:09:06.551;miner1;🔨 mined potential block                 ;44;1d1dc1…2822fd
10-24-12:09:10.650;miner6;🔨 mined potential block                 ;45;f58d4c…d75e53
10-24-12:09:11.848;miner7;🔨 mined potential block                 ;46;b98959…c8aefa
10-24-12:09:18.457;miner10;🔨 mined potential block                 ;47;d98ce2…275f07
10-24-12:09:37.911;miner10;🔨 mined potential block                 ;48;a2252b…b1368d
10-24-12:09:40.321;miner7;🔨 mined potential block                 ;49;149d11…4a0720
10-24-12:09:43.670;miner1;🔨 mined potential block                 ;50;cf7598…d88223
10-24-12:09:52.145;miner9;🔨 mined potential block                 ;51;778c01…1a53da
10-24-12:10:05.155;miner9;🔨 mined potential block                 ;52;9500e5…863f25
10-24-12:10:12.709;miner10;🔨 mined potential block                 ;53;1ce45c…5be272
10-24-12:10:12.758;miner2;🔨 mined potential block                 ;53;40cb26…ee04bc
10-24-12:10:17.128;miner7;🔨 mined potential block                 ;54;6d70f6…b7e949
10-24-12:10:19.513;miner6;🔨 mined potential block                 ;55;5ec466…9c8ecd
10-24-12:10:25.461;miner7;🔨 mined potential block                 ;56;d5bbf9…7c1ad8
10-24-12:10:41.928;miner3;🔨 mined potential block                 ;57;4db09a…8cec74
10-24-12:11:02.610;miner9;🔨 mined potential block                 ;58;3887f5…def9af
10-24-12:11:20.569;miner8;🔨 mined potential block                 ;59;89a923…3092c8
10-24-12:11:24.344;miner8;🔨 mined potential block                 ;60;b913a6…75ca25
10-24-12:11:29.142;miner6;🔨 mined potential block                 ;61;8e3ad9…eb7fad
10-24-12:11:31.249;miner4;🔨 mined potential block                 ;62;f698bf…987e25
10-24-12:11:43.766;miner8;🔨 mined potential block                 ;63;1b9422…a97b53
10-24-12:11:44.037;miner10;🔨 mined potential block                 ;64;ec4e50…c5ebfc
10-24-12:11:44.807;miner10;🔨 mined potential block                 ;65;5ee469…b4f76e
10-24-12:11:46.538;miner4;🔨 mined potential block                 ;66;ced1c5…32d520
10-24-12:11:49.730;miner3;🔨 mined potential block                 ;67;a9d6c9…811a76
10-24-12:11:56.110;miner10;🔨 mined potential block                 ;68;a11c2c…8a15c5
10-24-12:12:04.832;miner5;🔨 mined potential block                 ;69;dc8c24…662223
10-24-12:12:15.155;miner2;🔨 mined potential block                 ;70;8f2feb…9145a2
10-24-12:12:17.644;miner5;🔨 mined potential block                 ;71;04a327…667cb7
10-24-12:12:24.122;miner4;🔨 mined potential block                 ;72;88281d…cfff60
10-24-12:12:31.051;miner6;🔨 mined potential block                 ;73;6ad779…634445
10-24-12:12:51.317;miner2;🔨 mined potential block                 ;74;ec9952…69e3b2
10-24-12:12:52.739;miner8;🔨 mined potential block                 ;75;c4d1fb…6fbf1e
10-24-12:12:54.651;miner5;🔨 mined potential block                 ;76;5cd432…d1f9d0
10-24-12:12:57.008;miner10;🔨 mined potential block                 ;77;21f581…ed5ac8
10-24-12:12:58.819;miner10;🔨 mined potential block                 ;78;c5d4a3…9936bd
10-24-12:13:08.273;miner10;🔨 mined potential block                 ;79;5472db…e89461
10-24-12:13:13.629;miner3;🔨 mined potential block                 ;80;5e6e88…26c36c
10-24-12:13:13.712;miner9;🔨 mined potential block                 ;80;caf552…6c2f26
10-24-12:13:14.633;miner2;🔨 mined potential block                 ;81;9f59ee…f53bc3
10-24-12:13:17.521;miner4;🔨 mined potential block                 ;82;dde928…d0e7c3
10-24-12:13:21.263;miner8;🔨 mined potential block                 ;83;5593b4…2ceafe
10-24-12:13:25.268;miner3;🔨 mined potential block                 ;84;2568ec…05c5d1
10-24-12:13:39.024;miner3;🔨 mined potential block                 ;85;cc9305…b7556f
10-24-12:13:44.908;miner4;🔨 mined potential block                 ;86;586b7c…d478a0
10-24-12:14:03.035;miner1;🔨 mined potential block                 ;87;58c431…34d796
10-24-12:14:03.747;miner2;🔨 mined potential block                 ;88;38ee42…f7b5b5
10-24-12:14:12.835;miner7;🔨 mined potential block                 ;89;a1031a…e8a9f4
10-24-12:14:14.021;miner1;🔨 mined potential block                 ;90;cff0d8…e4c816
10-24-12:14:27.528;miner8;🔨 mined potential block                 ;91;b2404f…8d1e4f
10-24-12:14:42.508;miner8;🔨 mined potential block                 ;92;8c4320…36af09
10-24-12:14:44.053;miner5;🔨 mined potential block                 ;93;4da7f4…7f35e7
10-24-12:14:44.332;miner3;🔨 mined potential block                 ;93;4a68cc…20ddb1
10-24-12:14:45.808;miner10;🔨 mined potential block                 ;94;3d999a…e8df17
10-24-12:14:46.857;miner4;🔨 mined potential block                 ;95;399ae1…47eba4
10-24-12:14:48.869;miner7;🔨 mined potential block                 ;96;53e60a…37e79c
10-24-12:14:54.132;miner8;🔨 mined potential block                 ;97;5d0586…f9cce1
10-24-12:14:58.260;miner3;🔨 mined potential block                 ;98;273606…37280d
10-24-12:15:01.663;miner3;🔨 mined potential block                 ;99;e9c0a8…522e20
10-24-12:15:30.229;miner1;🔨 mined potential block                 ;100;620757…9027e5
